"Web Page Editor Layout","Vertical Layout","Shift+Ctrl+F9","Using Web Page Editor"
"Refactor - Java","Show Refactor Quick Menu","Shift+Alt+T","In Windows"
"Source","Toggle Comment","Esc Ctrl+C","Editing Java Source"
"Window","Activate Editor","F12","In Windows"
"Text Editing","Move Lines Up","Alt+Up","Editing Text"
"Edit","Select Next Element","Shift+Alt+Right","Editing JavaScript Source"
"Navigate","Expand All","Shift+Ctrl+Numpad_Multiply","In Windows"
"Edit","Restore Last Selection","Shift+Alt+Down","Editing JavaScript Source"
"Run/Debug","Run Java Applet","Shift+Alt+X A","In Windows"
"Source","Format","Shift+Ctrl+F","Editing Java Source"
"File","Save All","Shift+Ctrl+S","In Windows"
"Edit","Select Previous Element","Shift+Alt+Left","Editing in Structured Text Editors"
"Edit","Toggle Comment","Ctrl+/","Editing SQL"
"File","New","Ctrl+N","In Windows"
"Navigate","Quick Hierarchy","Ctrl+T","Editing Java Source"
"Run/Debug","Run JUnit Plug-in Test","Shift+Alt+X P","In Windows"
"Refactor - Java","Extract Local Variable","Shift+Alt+L","In Windows"
"Edit","Redo","Ctrl+Y","In Dialogs and Windows"
"Task","Open Selected Task","Ctrl+Enter","In Tasks View"
"Source","Format","Esc Ctrl+F","Editing Java Source"
"Refactor - JavaScript","Extract Local Variable","Shift+Alt+L","JavaScript View"
"Window","Switch to Editor","Shift+Ctrl+E","In Windows"
"Text Editing","Collapse All","Shift+Ctrl+Numpad_Divide","Editing Text"
"Text Editing","Delete Line","Ctrl+D","Editing Text"
"Server","Publish","Ctrl+Alt+P","In Servers View"
"Run/Debug","Debug Eclipse Application","Shift+Alt+D E","In Windows"
"Text Editing","Delete Next Word","Ctrl+Delete","Editing Text"
"JavaScript Debug","JavaScript Breakpoint Properties","Ctrl+Enter","In Breakpoints View"
"Text Editing","Previous Word","Ctrl+Left","Editing Text"
"Server","Run","Ctrl+Alt+R","In Servers View"
"Views","Show View (Outline)","Shift+Alt+Q O","In Windows"
"Edit","Find Previous","Shift+Ctrl+K","Editing Text"
"Navigate","Next","Ctrl+.","In Windows"
"Edit","Matching Tag","Shift+Ctrl+>","Editing in Structured Text Editors"
"JavaScript Debug","Evaluate","Shift+Alt+E","Editing JavaScript Source"
"Run/Debug","Force Return","Shift+Alt+F","In Windows"
"Navigate","Open Declaration","F3","In Windows"
"Navigate","Open Declaration","F3","JavaScript View"
"Navigate","Show In Breadcrumb","Shift+Alt+B","Editing Java Source"
"Run/Debug","Add Memory Block","Ctrl+Alt+M","In Memory View"
"WikiText Markup Editing Commands","Display Cheat Sheet","F1","WikiText Markup Source Context"
"Run/Debug","Toggle Breakpoint","Shift+Ctrl+B","In Windows"
"Views","Show View ()","Shift+Alt+Q D","In Windows"
"Edit","Copy","Ctrl+C","In Dialogs and Windows"
"Window","Show View Menu","Ctrl+F10","In Dialogs and Windows"
"View","Zoom In","Ctrl+=","In Windows"
"File","Close","Ctrl+F4","In Windows"
"Edit","Find and Replace","Ctrl+F","In Windows"
"Run/Debug","Debug Android Application","Shift+Alt+A D","In Windows"
"Source","Toggle Comment","Shift+Ctrl+C","Editing Java Source"
"Source","Organize Imports","Shift+Ctrl+O","JavaScript View"
"Edit","Select Next Element","Shift+Alt+Right","Editing Java Source"
"Run/Debug","Run Java Application","Shift+Alt+X J","In Windows"
"Refactor - JavaScript","Inline","Shift+Alt+I","JavaScript View"
"Text Editing","Line Start","Home","Editing Text"
"Navigate","Open Structure","Ctrl+F3","Editing Java Source"
"Android Refactorings","Extract Android String","Shift+Alt+A S","In Windows"
"Run/Debug","All Instances","Shift+Ctrl+N","In Windows"
"Views","Show View (Synchronize)","Shift+Alt+Q Y","In Windows"
"Source","Format","Esc Ctrl+F","Editing JavaScript Source"
"Views","Show View (JUnit)","Shift+Alt+Q J","In Windows"
"Edit","Select Next Element","Shift+Alt+Right","Editing in Structured Text Editors"
"Task","Mark Task Read and Go To Next Unread Task","Shift+Alt+Down","In Tasks View"
"Navigate","Forward History","Alt+Right","In Windows"
"Edit","Add Maven Dependency","Shift+Ctrl+D","Editing XML Source"
"Spy","Plug-in Menu Spy","Shift+Alt+F2","In Dialogs and Windows"
"Task","Mark Task Read and Go To Previous Unread Task","Shift+Alt+Up","In Tasks View"
"Edit","Toggle Comment","Shift+Ctrl+C","Editing in Structured Text Editors"
"Search","References in Workspace","Shift+Ctrl+G","In Windows"
"Terminal view commands","Terminal view insert","Alt+G","Terminal widget context"
"Edit","Select All","Ctrl+A","In Dialogs and Windows"
"Navigate","Open Type Hierarchy","F4","JavaScript View"
"Window","Next View","Ctrl+F7","In Windows"
"Source","Add JSDoc Comment","Shift+Alt+J","JavaScript View"
"Navigate","Activate Task","Ctrl+F9","In Windows"
"Edit","Select Enclosing Element","Shift+Alt+Up","Editing in Structured Text Editors"
"Run/Debug","Debug on Server","Shift+Alt+D R","In Windows"
"Source","Quick Assist - Rename in file","Ctrl+2 R","Editing JavaScript Source"
"ASA 9.x table schema editor","Cut","Alt+X","In Windows"
"Source","Show Source Quick Menu","Shift+Alt+S","In Windows"
"Navigate","Quick Outline","Ctrl+O","Editing JavaScript Source"
"Edit","Incremental Find","Ctrl+J","Editing Text"
"Web Page Editor Layout","Graphical Designer","Shift+Ctrl+F11","Using Web Page Editor"
"Run/Debug","Terminate","Ctrl+F2","Debugging"
"Edit","Previous Sibling","Shift+Ctrl+Up","Editing in Structured Text Editors"
"File","Close All","Shift+Ctrl+W","In Windows"
"Task","Mark Task Unread","Shift+Alt+U","In Tasks Editor"
"File","Close","Ctrl+W","In Windows"
"Views","Show View","Shift+Alt+Q Q","In Windows"
"Navigate","Show In...","Shift+Alt+W","In Windows"
"Edit","Next Sibling","Shift+Ctrl+Down","Editing in Structured Text Editors"
"Window","Show Ruler Context Menu","Ctrl+F10","Editing Text"
"Views","Show View (Script Explorer)","Shift+Alt+Q P","JavaScript View"
"Refactor - Java","Change Method Signature","Shift+Alt+C","In Windows"
"Run/Debug","Execute","Ctrl+U","In Windows"
"Text Editing","Line End","End","Editing Text"
"Text Editing","Select Line End","Shift+End","Editing Text"
"Source","Toggle Comment","Ctrl+/","Editing Properties Files"
"Navigate","Quick Outline","Shift+Ctrl+O","Task Markup Editor Source Context"
"Window","Previous Editor","Shift+Ctrl+F6","In Windows"
"Source","Quick Assist - Assign to local variable","Ctrl+2 L","Editing JavaScript Source"
"Run/Debug","Debug","F11","In Windows"
"Edit","Remove Block Comment","Shift+Ctrl+\","Editing in Structured Text Editors"
"Edit","Select Previous Element","Shift+Alt+Left","Editing JavaScript Source"
"Window","Previous View","Shift+Ctrl+F7","In Windows"
"Edit","Restore Last Selection","Shift+Alt+Down","Editing Java Source"
"Edit","Cut","Shift+Delete","In Dialogs and Windows"
"Terminal view commands","Terminal view insert","Alt+H","Terminal widget context"
"Source","Toggle Mark Occurrences","Shift+Alt+O","Editing Java Source"
"Refactor - Java","Inline","Shift+Alt+I","In Windows"
"SQL Results View","Terminate Result","Ctrl+Break","In Windows"
"Text Editing","To Upper Case","Shift+Ctrl+X","Editing Text"
"Web Page Editor Layout","Source Code","Shift+Ctrl+F12","Using Web Page Editor"
"Text Editing","Expand All","Ctrl+Numpad_Multiply","Editing Text"
"Source","Toggle Comment","Shift+Ctrl+C","Editing Properties Files"
"Run/Debug","Run on Server","Shift+Alt+X R","In Windows"
"Views","Show View (Task List)","Shift+Alt+Q K","In Windows"
"Source","Toggle Mark Occurrences","Shift+Alt+O","Editing JavaScript Source"
"File","New menu","Shift+Alt+N","In Windows"
"Window","Show Key Assist","Shift+Ctrl+L","In Dialogs and Windows"
"Navigate","Open Maven POM","Shift+Alt+P","In Windows"
"Window","Maximize Active View or Editor","Ctrl+M","In Windows"
"Views","Show View (Error Log)","Shift+Alt+Q L","In Windows"
"Text Editing","Select Next Word","Shift+Ctrl+Right","Editing Text"
"Window","Quick Switch Editor","Ctrl+E","In Windows"
"Run/Debug","Next Memory Monitor","Ctrl+Alt+N","In Memory View"
"Navigate","Go to Previous Member","Shift+Ctrl+Up","Editing Java Source"
"Edit","Select Previous Element","Shift+Alt+Left","Editing Java Source"
"Navigate","Open Structure","Ctrl+F3","Editing JavaScript Source"
"Navigate","Open Remote Task","Shift+Ctrl+Alt+F12","In Windows"
"Navigate","Previous Page","Shift+Ctrl+F5","In Faces Config Editor"
"Database Tools","Edit in SQL Query Builder...","Alt+Q","Editing SQL"
"Source","Quick Assist - Assign to local variable","Ctrl+2 L","Editing Java Source"
"Edit","Format","Shift+Ctrl+F","Editing in Structured Text Editors"
"File","Close All","Shift+Ctrl+F4","In Windows"
"Uncategorized","Add Artifact to Target Platform","Shift+Ctrl+Alt+A","In Windows"
"Edit","Open Selection","F3","Editing in Structured Text Editors"
"Navigate","Matching Bracket","Shift+Ctrl+P","Editing in Structured Text Editors"
"Terminal view commands","Terminal view insert","Alt+S","Terminal widget context"
"Edit","Move","Shift+Alt+V","Editing JSP Source"
"Refactor - JavaScript","Move - Refactoring ","Shift+Alt+V","JavaScript View"
"Run/Debug","Next Page of Memory","Shift+Ctrl+.","In Table Memory Rendering"
"Task Editor","Submit Task","Shift+Alt+S","In Tasks Editor"
"Server","Debug","Ctrl+Alt+D","In Servers View"
"Edit","Add Maven Plugin","Shift+Ctrl+P","Editing XML Source"
"Search","Show Occurrences in File Quick Menu","Shift+Ctrl+U","JavaScript View"
"Navigate","Next Sub-Tab","Alt+PageDown","In Dialogs and Windows"
"Navigate","Open Resource","Shift+Ctrl+R","In Windows"
"Text Editing","Next Word","Ctrl+Right","Editing Text"
"Task","Show Tooltip Description","F4","In Tasks View"
"Navigate","Open External JSDoc","Shift+F2","JavaScript View"
"Source","Remove Occurrence Annotations","Shift+Alt+U","Editing Java Source"
"Edit","Paste","Ctrl+V","In Dialogs and Windows"
"Views","Show View (Declaration)","Shift+Alt+Q D","JavaScript View"
"Task","New Local Task","Insert","In Tasks View"
"Run/Debug","Display","Shift+Ctrl+D","In Dialogs and Windows"
"Window","Next Editor","Ctrl+F6","In Windows"
"Navigate","Previous Page","Shift+Ctrl+F5","Using Web Page Editor"
"Window","Show System Menu","Alt+-","In Windows"
"View","Zoom Out","Ctrl+-","In Windows"
"Source","Toggle Comment","Shift+Ctrl+C","Editing JavaScript Source"
"Source","Format","Shift+Ctrl+F","Editing Ant Buildfiles"
"Text Editing","Toggle Folding","Ctrl+Numpad_Divide","Editing Text"
"Source","Toggle Comment","Ctrl+/","Editing Java Source"
"Navigate","Quick Hierarchy","Ctrl+T","Editing JavaScript Source"
"Database Tools","Execute Selected Text As One Statement","Alt+C","Editing SQL"
"Task","Mark Task Read","Shift+Alt+R","In Tasks Editor"
"Source","Remove Block Comment","Shift+Ctrl+\","Editing Java Source"
"Source","Format","Shift+Ctrl+F","Editing JavaScript Source"
"Navigate","Open Call Hierarchy","Ctrl+Alt+H","JavaScript View"
"Source","Indent Line","Ctrl+I","Editing JavaScript Source"
"Navigate","Open Type Hierarchy","F4","In Windows"
"File","Print","Ctrl+P","In Windows"
"Navigate","Backward History","Alt+Left","In Windows"
"JavaScript Debug","Open Source","Shift+Ctrl+3","Debugging"
"Manifest Editor Source","Format Source","Shift+Ctrl+F","PDE editor"
"Terminal view commands","Terminal view insert","Alt+V","Terminal widget context"
"Run/Debug","Debug Java Applet","Shift+Alt+D A","In Windows"
"Run/Debug","Debug OSGi Framework","Shift+Alt+D O","In Windows"
"Edit","Cut","Ctrl+X","In Dialogs and Windows"
"Edit","Incremental Find Reverse","Shift+Ctrl+J","Editing Text"
"Edit","Content Assist","Ctrl+Space","In Dialogs and Windows"
"Text Editing","Text End","Ctrl+End","Editing Text"
"Text Editing","Insert Line Below Current Line","Shift+Enter","Editing Text"
"Edit","Paste","Shift+Insert","In Dialogs and Windows"
"Terminal view commands","Terminal view insert","Alt+N","Terminal widget context"
"Terminal view commands","Terminal view insert","Alt+E","Terminal widget context"
"Navigate","Open Call Hierarchy","Ctrl+Alt+H","In Windows"
"Source","Add Block Comment","Shift+Ctrl+/","Editing JavaScript Source"
"Run/Debug","Run Ant Build","Shift+Alt+X Q","In Windows"
"Terminal view commands","Terminal view insert","Alt+A","Terminal widget context"
"Run/Debug","EOF","Ctrl+D","In I/O Console"
"Run/Debug","Previous Page of Memory","Shift+Ctrl+,","In Table Memory Rendering"
"Run/Debug","Step Return","F7","Debugging"
"Views","Show View (Breakpoints)","Shift+Alt+Q B","In Windows"
"Source","Toggle Comment","Ctrl+7","Editing Properties Files"
"Server","Stop","Ctrl+Alt+S","In Servers View"
"File","Rename","F2","In Windows"
"Navigate","Open Task","Ctrl+F12","In Windows"
"Text Editing","Select Previous Word","Shift+Ctrl+Left","Editing Text"
"Search","Open Search Dialog","Ctrl+H","In Windows"
"Edit","Format Active Elements","Ctrl+I","Editing in Structured Text Editors"
"Run/Debug","Run OSGi Framework","Shift+Alt+X O","In Windows"
"Navigate","Quick Outline","Ctrl+O","Editing in Structured Text Editors"
"Edit","Rename","Shift+Alt+R","Editing JSP Source"
"Search","Declaration in Workspace","Ctrl+G","JavaScript View"
"Source","Toggle Comment","Esc Ctrl+C","Editing JavaScript Source"
"Run/Debug","Display","Shift+Ctrl+V","In Dialogs and Windows"
"Source","Format","Esc Ctrl+F","Editing Ant Buildfiles"
"Terminal view commands","Terminal view insert","Alt+T","Terminal widget context"
"Edit","Quick Diff Toggle","Shift+Ctrl+Q","Editing Text"
"File","Save","Ctrl+S","In Windows"
"Web Page Editor Layout","Horizontal Layout","Shift+Ctrl+F10","Using Web Page Editor"
"Run/Debug","Toggle Memory Monitors Pane","Ctrl+T","In Memory View"
"Navigate","Previous Sub-Tab","Alt+PageUp","In Dialogs and Windows"
"Window","Previous Perspective","Shift+Ctrl+F8","In Windows"
"Navigate","Go to Next Member","Shift+Ctrl+Down","Editing JavaScript Source"
"Navigate","Next Page","Ctrl+F5","In Faces Config Editor"
"Edit","Quick Fix","Ctrl+1","In Dialogs and Windows"
"Navigate","Quick Outline","Ctrl+O","PDE editor"
"Task","Mark Task Incomplete","Shift+Alt+I","In Tasks View"
"Navigate","Previous Page","Shift+Alt+F7","In Windows"
"Navigate","Last Edit Location","Ctrl+Q","In Windows"
"Navigate","Open Type","Shift+Ctrl+T","Editing JavaScript Source"
"Views","Show View (Cheat Sheets)","Shift+Alt+Q H","In Windows"
"Text Editing","Join Lines","Ctrl+Alt+J","Editing Text"
"Focused UI","Make Less Interesting","Shift+Ctrl+Alt+Down","In Windows"
"Navigate","Open Type","Shift+Ctrl+T","In Windows"
"Views","Show View (Javadoc)","Shift+Alt+Q J","In Windows"
"Source","Organize Imports","Shift+Ctrl+O","In Windows"
"Search","Find Text in Workspace","Ctrl+Alt+G","In Windows"
"Text Editing","Show Tooltip Description","F2","Editing Text"
"Task","Mark Task Read","Shift+Alt+R","In Tasks View"
"Run/Debug","Debug JUnit Test","Shift+Alt+D T","In Windows"
"Run/Debug","Use Step Filters","Shift+F5","In Windows"
"Edit","Word Completion","Alt+/","Editing Text"
"Source","Show Source Quick Menu","Shift+Alt+S","JavaScript View"
"Source","Add Block Comment","Shift+Ctrl+/","Editing Java Source"
"Views","Show View (Hierarchy)","Shift+Alt+Q T","JavaScript View"
"Navigate","Deactivate Task","Shift+Ctrl+F9","In Windows"
"Run/Debug","New Rendering","Ctrl+N","In Memory View"
"Text Editing","Copy Lines","Ctrl+Down Ctrl+Down","Editing Text"
"Navigate","Next Page","Alt+F7","In Windows"
"Views","Show View (Variables)","Shift+Alt+Q V","In Windows"
"Run/Debug","Inspect","Shift+Ctrl+I","In Dialogs and Windows"
"Navigate","Go To Previous Unread Task","Alt+Up","In Tasks View"
